Transcription Factor
ENSG00000072364
ENSG00000106546
ENSG00000180318
ENSG00000052850
ENSG00000169083
ENSG00000143437
ENSG00000139352
ENSG00000123268
ENSG00000115966
ENSG00000162772
ENSG00000128272
ENSG00000169136
ENSG00000118217
ENSG00000156273
ENSG00000112182
ENSG00000119866
ENSG00000069399
ENSG00000113916
ENSG00000171634
ENSG00000012048
ENSG00000139618
ENSG00000129993
ENSG00000096401
ENSG00000113722
ENSG00000165556
ENSG00000245848
ENSG00000172216
ENSG00000221869
ENSG00000092067
ENSG00000153879
ENSG00000115816
ENSG00000136997
ENSG00000118260
ENSG00000107175
ENSG00000095794
ENSG00000105392
ENSG00000060138
ENSG00000102974
ENSG00000257923
ENSG00000095596
ENSG00000105516
ENSG00000175197
ENSG00000108813
ENSG00000176399
ENSG00000101412
ENSG00000007968
ENSG00000112242
ENSG00000205250
ENSG00000133740
ENSG00000169016
ENSG00000165891
ENSG00000167967
ENSG00000221818
ENSG00000120738
ENSG00000122877
ENSG00000179388
ENSG00000135625
ENSG00000120690
ENSG00000109381
ENSG00000126767
ENSG00000111145
ENSG00000158711
ENSG00000163064
ENSG00000116016
ENSG00000157554
ENSG00000091831
ENSG00000140009
ENSG00000173153
ENSG00000134954
ENSG00000157557
ENSG00000006468
ENSG00000175832
ENSG00000010030
ENSG00000106462
ENSG00000089094
ENSG00000151702
ENSG00000160094
ENSG00000102755
ENSG00000170345
ENSG00000125740
ENSG00000175592
ENSG00000075426
ENSG00000129514
ENSG00000125798
ENSG00000170608
ENSG00000054598
ENSG00000251493
ENSG00000187140
ENSG00000103241
ENSG00000137273
ENSG00000168269
ENSG00000129654
ENSG00000065970
ENSG00000176678
ENSG00000111206
ENSG00000109101
ENSG00000150907
ENSG00000118689
ENSG00000184481
ENSG00000128573
ENSG00000049768
ENSG00000164379
ENSG00000154727
ENSG00000104064
ENSG00000143458
ENSG00000102145
ENSG00000179348
ENSG00000107485
ENSG00000136574
ENSG00000141448
ENSG00000137270
ENSG00000162676
ENSG00000165702
ENSG00000111087
ENSG00000074047
ENSG00000106571
ENSG00000160007
ENSG00000140307
ENSG00000122034
ENSG00000113196
ENSG00000114315
ENSG00000164683
ENSG00000100644
ENSG00000108924
ENSG00000137309
ENSG00000215612
ENSG00000135100
ENSG00000275410
ENSG00000101076
ENSG00000164749
ENSG00000105991
ENSG00000253293
ENSG00000005073
ENSG00000106031
ENSG00000105997
ENSG00000197576
ENSG00000106004
ENSG00000122592
ENSG00000078399
ENSG00000120094
ENSG00000159184
ENSG00000173917
ENSG00000120093
ENSG00000182742
ENSG00000260027
ENSG00000120068
ENSG00000170689
ENSG00000123388
ENSG00000037965
ENSG00000128710
ENSG00000128652
ENSG00000175879
ENSG00000128709
ENSG00000185122
ENSG00000025156
ENSG00000185811
ENSG00000136634
ENSG00000125347
ENSG00000168310
ENSG00000117595
ENSG00000185507
ENSG00000140968
ENSG00000177606
ENSG00000171223
ENSG00000130522
ENSG00000114166
ENSG00000172059
ENSG00000118922
ENSG00000163884
ENSG00000136826
ENSG00000102554
ENSG00000067082
ENSG00000138795
ENSG00000106689
ENSG00000107187
ENSG00000135363
ENSG00000124831
ENSG00000178573
ENSG00000204103
ENSG00000185022
ENSG00000197063
ENSG00000198517
ENSG00000125952
ENSG00000103495
ENSG00000085276
ENSG00000068305
ENSG00000143995
ENSG00000106511
ENSG00000240972
ENSG00000187098
ENSG00000163132
ENSG00000188786
ENSG00000059728
ENSG00000123933
ENSG00000118513
ENSG00000185697
ENSG00000101057
ENSG00000134323
ENSG00000111046
ENSG00000129152
ENSG00000122180
ENSG00000099326
ENSG00000111704
ENSG00000162992
ENSG00000171532
ENSG00000196712
ENSG00000102908
ENSG00000131196
ENSG00000101096
ENSG00000072736
ENSG00000123405
ENSG00000082641
ENSG00000116044
ENSG00000162599
ENSG00000141905
ENSG00000165030
ENSG00000008441
ENSG00000109320
ENSG00000077150
ENSG00000001167
ENSG00000120837
ENSG00000171786
ENSG00000136352
ENSG00000167034
ENSG00000243678
ENSG00000126368
ENSG00000025434
ENSG00000012504
ENSG00000144852
ENSG00000143257
ENSG00000120798
ENSG00000177463
ENSG00000175745
ENSG00000185551
ENSG00000113580
ENSG00000151623
ENSG00000123358
ENSG00000136931
ENSG00000116833
ENSG00000148200
ENSG00000106459
ENSG00000169856
ENSG00000119547
ENSG00000167825
ENSG00000165588
ENSG00000143799
ENSG00000100105
ENSG00000125813
ENSG00000075891
ENSG00000135903
ENSG00000106331
ENSG00000196092
ENSG00000007372
